Flight ID,Carrier,Origin,Destination,Local Departure Time,Normalized Departure Time [min],Local Arrival Time,Normalized Arrival Time [min],Flight Cancelled?,Number of Seats
7169314,NW,MSP,BOI,29-JUL-07 05.12.00.000000000 PM AMERICA/CHICAGO,1067,29-JUL-07 07.13.00.000000000 PM AMERICA/DENVER,1248,0,148
7171774,NW,DTW,GRR,29-JUL-07 07.05.00.000000000 PM AMERICA/NEW_YORK,1120,29-JUL-07 07.55.00.000000000 PM AMERICA/NEW_YORK,1170,1,125
7172238,NW,MSP,DCA,29-JUL-07 01.05.00.000000000 PM AMERICA/CHICAGO,820,29-JUL-07 04.28.00.000000000 PM AMERICA/NEW_YORK,963,1,148
7169639,NW,DEN,MEM,29-JUL-07 10.04.00.000000000 AM AMERICA/DENVER,699,29-JUL-07 01.20.00.000000000 PM AMERICA/CHICAGO,835,0,124
7179187,9E,DTW,HPN,29-JUL-07 09.09.00.000000000 PM AMERICA/NEW_YORK,1244,29-JUL-07 10.52.00.000000000 PM AMERICA/NEW_YORK,1347,0,50
7178397,9E,DTW,MLI,29-JUL-07 09.02.00.000000000 PM AMERICA/NEW_YORK,1237,29-JUL-07 09.24.00.000000000 PM AMERICA/CHICAGO,1319,0,50
7171224,NW,MSP,STL,29-JUL-07 11.30.00.000000000 AM AMERICA/CHICAGO,725,29-JUL-07 01.02.00.000000000 PM AMERICA/CHICAGO,817,1,125
7176870,9E,DTW,CVG,29-JUL-07 12.19.00.000000000 PM AMERICA/NEW_YORK,714,29-JUL-07 01.28.00.000000000 PM AMERICA/NEW_YORK,783,0,50
7209652,AA,DFW,EWR,29-JUL-07 11.35.00.000000000 AM AMERICA/CHICAGO,730,29-JUL-07 04.05.00.000000000 PM AMERICA/NEW_YORK,940,0,138
7209682,AA,BOS,STL,29-JUL-07 11.20.00.000000000 AM AMERICA/NEW_YORK,655,29-JUL-07 01.10.00.000000000 PM AMERICA/CHICAGO,825,0,140
7176443,9E,MSP,FNT,29-JUL-07 04.05.00.000000000 PM AMERICA/CHICAGO,1000,29-JUL-07 06.27.00.000000000 PM AMERICA/NEW_YORK,1082,0,50
7206263,AA,LAX,SFO,29-JUL-07 04.05.00.000000000 PM AMERICA/LOS_ANGELES,1120,29-JUL-07 05.15.00.000000000 PM AMERICA/LOS_ANGELES,1190,0,140
7171362,NW,DTW,ROC,29-JUL-07 09.34.00.000000000 PM AMERICA/NEW_YORK,1269,29-JUL-07 10.43.00.000000000 PM AMERICA/NEW_YORK,1338,0,100
7177055,9E,MSP,DAY,29-JUL-07 08.30.00.000000000 PM AMERICA/CHICAGO,1265,29-JUL-07 11.10.00.000000000 PM AMERICA/NEW_YORK,1365,0,50
7172969,NW,CLT,DTW,29-JUL-07 09.22.00.000000000 AM AMERICA/NEW_YORK,537,29-JUL-07 11.10.00.000000000 AM AMERICA/NEW_YORK,645,0,125
7172147,NW,MCI,MSP,29-JUL-07 04.30.00.000000000 PM AMERICA/CHICAGO,1025,29-JUL-07 05.55.00.000000000 PM AMERICA/CHICAGO,1110,0,125
7172862,NW,CLT,DTW,29-JUL-07 04.10.00.000000000 PM AMERICA/NEW_YORK,945,29-JUL-07 06.06.00.000000000 PM AMERICA/NEW_YORK,1061,0,148
7169520,NW,MDW,MSP,29-JUL-07 02.35.00.000000000 PM AMERICA/CHICAGO,910,29-JUL-07 04.07.00.000000000 PM AMERICA/CHICAGO,1002,0,100
7171393,NW,MSY,DTW,29-JUL-07 04.51.00.000000000 PM AMERICA/CHICAGO,1046,29-JUL-07 08.27.00.000000000 PM AMERICA/NEW_YORK,1202,0,100
7179108,9E,DTW,HPN,29-JUL-07 01.42.00.000000000 PM AMERICA/NEW_YORK,797,29-JUL-07 03.29.00.000000000 PM AMERICA/NEW_YORK,904,1,50
7168752,NW,MEM,EWR,29-JUL-07 08.41.00.000000000 AM AMERICA/CHICAGO,556,29-JUL-07 12.18.00.000000000 PM AMERICA/NEW_YORK,713,0,124
7177146,9E,DTW,DSM,29-JUL-07 03.20.00.000000000 PM AMERICA/NEW_YORK,895,29-JUL-07 04.11.00.000000000 PM AMERICA/CHICAGO,1006,0,50
7205768,AA,MSP,ORD,29-JUL-07 06.00.00.000000000 PM AMERICA/CHICAGO,1115,29-JUL-07 07.20.00.000000000 PM AMERICA/CHICAGO,1195,0,140
7212374,AA,BOS,DFW,29-JUL-07 12.20.00.000000000 PM AMERICA/NEW_YORK,715,29-JUL-07 03.15.00.000000000 PM AMERICA/CHICAGO,950,0,138
7176176,9E,MSP,OKC,29-JUL-07 09.05.00.000000000 PM AMERICA/CHICAGO,1300,29-JUL-07 11.07.00.000000000 PM AMERICA/CHICAGO,1422,0,50
7207656,AA,PHX,DFW,29-JUL-07 09.05.00.000000000 AM US/ARIZONA,700,29-JUL-07 01.30.00.000000000 PM AMERICA/CHICAGO,845,0,188
7172698,NW,SAT,MEM,29-JUL-07 04.12.00.000000000 PM AMERICA/CHICAGO,1007,29-JUL-07 06.00.00.000000000 PM AMERICA/CHICAGO,1115,0,124
7169345,NW,MSN,MSP,29-JUL-07 06.50.00.000000000 AM AMERICA/CHICAGO,445,29-JUL-07 07.52.00.000000000 AM AMERICA/CHICAGO,507,0,125
7179640,9E,DTW,DSM,29-JUL-07 12.08.00.000000000 PM AMERICA/NEW_YORK,703,29-JUL-07 12.56.00.000000000 PM AMERICA/CHICAGO,811,0,50
7176280,9E,MSP,INL,29-JUL-07 09.25.00.000000000 PM AMERICA/CHICAGO,1320,29-JUL-07 10.34.00.000000000 PM AMERICA/CHICAGO,1389,0,50
