,,,out,,,,,,
7037424,EV,BGR,ATL,29-JUL-07 02.00.00.000000000 PM AMERICA/NEW_YORK,815,29-JUL-07 05.06.00.000000000 PM AMERICA/NEW_YORK,1001,0,70
7054475,EV,SBN,ATL,29-JUL-07 03.10.00.000000000 PM AMERICA/NEW_YORK,885,29-JUL-07 05.09.00.000000000 PM AMERICA/NEW_YORK,1004,0,50
7055184,EV,RIC,ATL,29-JUL-07 09.35.00.000000000 AM AMERICA/NEW_YORK,550,29-JUL-07 11.16.00.000000000 AM AMERICA/NEW_YORK,651,0,50
7038988,EV,MCN,ATL,29-JUL-07 05.45.00.000000000 AM AMERICA/NEW_YORK,320,29-JUL-07 06.23.00.000000000 AM AMERICA/NEW_YORK,358,0,40
7055513,EV,CRW,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,335,29-JUL-07 07.19.00.000000000 AM AMERICA/NEW_YORK,414,0,50
7049938,EV,ATL,IAH,29-JUL-07 09.20.00.000000000 PM AMERICA/NEW_YORK,1255,29-JUL-07 10.24.00.000000000 PM AMERICA/CHICAGO,1379,0,50
7040518,EV,ATL,GPT,29-JUL-07 04.10.00.000000000 PM AMERICA/NEW_YORK,945,29-JUL-07 04.33.00.000000000 PM AMERICA/CHICAGO,1028,0,55
7041919,EV,ATL,SDF,29-JUL-07 10.29.00.000000000 AM AMERICA/NEW_YORK,604,29-JUL-07 11.55.00.000000000 AM AMERICA/NEW_YORK,690,0,70
7057543,EV,ATL,ABY,29-JUL-07 07.55.00.000000000 PM AMERICA/NEW_YORK,1170,29-JUL-07 08.51.00.000000000 PM AMERICA/NEW_YORK,1226,0,40
7036948,EV,SYR,ATL,29-JUL-07 12.35.00.000000000 PM AMERICA/NEW_YORK,730,29-JUL-07 02.53.00.000000000 PM AMERICA/NEW_YORK,868,0,40
7044822,EV,ATL,PIA,29-JUL-07 03.05.00.000000000 PM AMERICA/NEW_YORK,880,29-JUL-07 03.54.00.000000000 PM AMERICA/CHICAGO,989,0,50
7045858,EV,ATL,CHA,29-JUL-07 05.05.00.000000000 PM AMERICA/NEW_YORK,1000,29-JUL-07 06.00.00.000000000 PM AMERICA/NEW_YORK,1055,0,66
7051182,EV,ATL,OKC,29-JUL-07 11.47.00.000000000 AM AMERICA/NEW_YORK,682,29-JUL-07 12.55.00.000000000 PM AMERICA/CHICAGO,810,0,40
7046568,EV,MLI,ATL,29-JUL-07 05.16.00.000000000 PM AMERICA/CHICAGO,1071,29-JUL-07 08.17.00.000000000 PM AMERICA/NEW_YORK,1192,0,50
7035958,EV,ATL,ALB,29-JUL-07 09.46.00.000000000 AM AMERICA/NEW_YORK,561,29-JUL-07 12.16.00.000000000 PM AMERICA/NEW_YORK,711,0,70
7043849,EV,FWA,ATL,29-JUL-07 11.50.00.000000000 AM AMERICA/NEW_YORK,685,29-JUL-07 01.35.00.000000000 PM AMERICA/NEW_YORK,790,0,50
7043089,EV,ATL,CHA,29-JUL-07 02.47.00.000000000 PM AMERICA/NEW_YORK,862,29-JUL-07 03.35.00.000000000 PM AMERICA/NEW_YORK,910,0,50
7043788,EV,ATL,MLU,29-JUL-07 09.11.00.000000000 PM AMERICA/NEW_YORK,1246,29-JUL-07 09.42.00.000000000 PM AMERICA/CHICAGO,1337,0,50
7039608,EV,ATL,FWA,29-JUL-07 08.56.00.000000000 PM AMERICA/NEW_YORK,1231,29-JUL-07 10.39.00.000000000 PM AMERICA/NEW_YORK,1334,0,50
7038831,EV,ATL,BQK,29-JUL-07 04.05.00.000000000 PM AMERICA/NEW_YORK,940,29-JUL-07 05.09.00.000000000 PM AMERICA/NEW_YORK,1004,0,50
7039549,EV,ATL,FNT,29-JUL-07 08.29.00.000000000 AM AMERICA/NEW_YORK,484,29-JUL-07 10.21.00.000000000 AM AMERICA/NEW_YORK,596,0,50
7040287,EV,ATL,AEX,29-JUL-07 04.50.00.000000000 PM AMERICA/NEW_YORK,985,29-JUL-07 05.30.00.000000000 PM AMERICA/CHICAGO,1085,1,40
7036114,EV,HOU,ATL,29-JUL-07 11.01.00.000000000 AM AMERICA/CHICAGO,696,29-JUL-07 02.10.00.000000000 PM AMERICA/NEW_YORK,825,0,50
